crimecode,description,inside_outside,weapon,gender,age,race,district,neighborhood,premise,Month_name,time_of_day
4E,COMMON ASSAULT,Outside,PERSONAL_WEAPONS,Male,36.0,BLACK_OR_AFRICAN_AMERICAN,NORTHERN,Remington,CONVENIENCE STORE,September,night
4D,AGG. ASSAULT,Outside,NO_Weapon_Involved,Female,26.0,BLACK_OR_AFRICAN_AMERICAN,SOUTHEAST,Patterson Park Neighborhood,CONVENIENCE STORE,September,morning
4E,COMMON ASSAULT,Inside,PERSONAL_WEAPONS,Female,56.0,WHITE,SOUTHEAST,Bayview,STREET,September,morning
6D,LARCENY FROM AUTO,Inside,NO_Weapon_Involved,Male,34.0,Unknown,EASTERN,Ellwood Park/Monument,STREET,September,afternoon
4B,AGG. ASSAULT,Inside,KNIFE_CUTTING_INSTRUMENT,Female,32.0,BLACK_OR_AFRICAN_AMERICAN,EASTERN,Broadway East,STREET,September,evening
4D,AGG. ASSAULT,Outside,NO_Weapon_Involved,Male,39.0,BLACK_OR_AFRICAN_AMERICAN,WESTERN,Franklin Square,CONVENIENCE STORE,September,evening
4E,COMMON ASSAULT,Outside,NO_Weapon_Involved,Female,26.0,BLACK_OR_AFRICAN_AMERICAN,NORTHWEST,Central Park Heights,OTHER/RESIDENTIAL,August,morning
6F,LARCENY,Inside,NO_Weapon_Involved,Female,29.0,Unknown,NORTHEAST,Frankford,STREET,August,morning
4E,COMMON ASSAULT,Outside,PERSONAL_WEAPONS,Female,52.0,BLACK_OR_AFRICAN_AMERICAN,EASTERN,Oldtown,OTHER/RESIDENTIAL,August,morning
4E,COMMON ASSAULT,Inside,NO_Weapon_Involved,Female,31.0,Unknown,WESTERN,Parkview/Woodbrook,STREET,August,morning
3JO,ROBBERY,Outside,PERSONAL_WEAPONS,Female,25.0,BLACK_OR_AFRICAN_AMERICAN,NORTHEAST,Frankford,OTHER/RESIDENTIAL,August,afternoon
4E,COMMON ASSAULT,Outside,PERSONAL_WEAPONS,Female,31.0,WHITE,SOUTHEAST,Highlandtown,OTHER/RESIDENTIAL,August,morning
6D,LARCENY FROM AUTO,Inside,NO_Weapon_Involved,Female,32.0,BLACK_OR_AFRICAN_AMERICAN,EASTERN,Johnston Square,STREET,August,night
4E,COMMON ASSAULT,Outside,PERSONAL_WEAPONS,Female,34.0,BLACK_OR_AFRICAN_AMERICAN,SOUTHWEST,Winchester,OTHER/RESIDENTIAL,August,morning
4E,COMMON ASSAULT,Outside,PERSONAL_WEAPONS,Female,24.0,WHITE,CENTRAL,Mid-Town Belvedere,OFFICE BUILDING,August,morning
3GF,ROBBERY,Outside,OTHER,Male,29.0,BLACK_OR_AFRICAN_AMERICAN,NORTHERN,Harwood,CONVENIENCE STORE,August,night
6D,LARCENY FROM AUTO,Inside,NO_Weapon_Involved,Male,38.0,Unknown,SOUTHEAST,Baltimore Highlands,STREET,August,night
7A,AUTO THEFT,Inside,NO_Weapon_Involved,Male,57.0,BLACK_OR_AFRICAN_AMERICAN,SOUTHERN,Riverside,SHED/GARAGE,August,evening
6J,LARCENY,Inside,NO_Weapon_Involved,Male,40.0,Unknown,SOUTHEAST,McElderry Park,STREET,August,evening
6J,LARCENY,Outside,NO_Weapon_Involved,Female,69.0,WHITE,NORTHERN,Remington,LIQUOR STORE,August,afternoon
6J,LARCENY,Inside,NO_Weapon_Involved,Male,25.0,BLACK_OR_AFRICAN_AMERICAN,CENTRAL,DOWNTOWN,SHED/GARAGE,August,morning
6F,LARCENY,Outside,NO_Weapon_Involved,Male,50.0,BLACK_OR_AFRICAN_AMERICAN,WESTERN,Coppin Heights/Ash-Co-East,SCHOOL,August,afternoon
6J,LARCENY,Inside,NO_Weapon_Involved,Male,43.0,WHITE,NORTHEAST,Coldstream Homestead Montebello,STREET,October,morning
7A,AUTO THEFT,Inside,NO_Weapon_Involved,Male,58.0,Unknown,SOUTHEAST,Pulaski Industrial Area,STREET,October,afternoon
8I,ARSON,Inside,NO_Weapon_Involved,Female,34.0,BLACK_OR_AFRICAN_AMERICAN,NORTHEAST,Frankford,STREET,October,evening
7A,AUTO THEFT,Outside,NO_Weapon_Involved,Male,64.0,BLACK_OR_AFRICAN_AMERICAN,SOUTHWEST,Carrollton Ridge,OTHER/RESIDENTIAL,October,morning
4B,AGG. ASSAULT,Outside,PERSONAL_WEAPONS,Female,14.0,BLACK_OR_AFRICAN_AMERICAN,SOUTHEAST,McElderry Park,OTHER/RESIDENTIAL,October,afternoon
4B,AGG. ASSAULT,Outside,PERSONAL_WEAPONS,Female,11.0,BLACK_OR_AFRICAN_AMERICAN,SOUTHEAST,McElderry Park,OTHER/RESIDENTIAL,October,afternoon
3AF,ROBBERY,Inside,PERSONAL_WEAPONS,Female,24.0,WHITE,CENTRAL,Downtown,STREET,October,evening
4E,COMMON ASSAULT,Outside,PERSONAL_WEAPONS,Female,37.0,BLACK_OR_AFRICAN_AMERICAN,SOUTHWEST,Edmondson Village,OTHER/RESIDENTIAL,October,evening
6F,LARCENY,Outside,NO_Weapon_Involved,Female,32.0,BLACK_OR_AFRICAN_AMERICAN,SOUTHERN,Sharp-Leadenhall,OTHER/RESIDENTIAL,October,afternoon
3AO,ROBBERY,Inside,PERSONAL_WEAPONS,Female,69.0,BLACK_OR_AFRICAN_AMERICAN,NORTHEAST,Arcadia,STREET,October,afternoon
3AO,ROBBERY,Inside,PERSONAL_WEAPONS,Male,71.0,WHITE,NORTHEAST,Armistead Gardens,STREET,October,afternoon
5F,BURGLARY,Outside,NO_Weapon_Involved,Female,43.0,BLACK_OR_AFRICAN_AMERICAN,WESTERN,Harlem Park,OTHER/RESIDENTIAL,October,evening
7A,AUTO THEFT,Inside,NO_Weapon_Involved,Male,59.0,BLACK_OR_AFRICAN_AMERICAN,CENTRAL,Downtown,GAS STATION,October,night
6D,LARCENY FROM AUTO,Inside,NO_Weapon_Involved,Male,52.0,BLACK_OR_AFRICAN_AMERICAN,NORTHEAST,Belair-Edison,STREET,October,night
6J,LARCENY,Inside,NO_Weapon_Involved,Male,28.0,WHITE,SOUTHEAST,Upper Fells Point,STREET,October,evening
6J,LARCENY,Inside,NO_Weapon_Involved,Female,55.0,WHITE,SOUTHEAST,FELLS POINT,STREET,October,evening
4E,COMMON ASSAULT,Inside,OTHER,Female,39.0,BLACK_OR_AFRICAN_AMERICAN,CENTRAL,Downtown,STREET,September,evening
4E,COMMON ASSAULT,Outside,PERSONAL_WEAPONS,Female,32.0,BLACK_OR_AFRICAN_AMERICAN,SOUTHWEST,Carrollton Ridge,OTHER/RESIDENTIAL,September,evening
4E,COMMON ASSAULT,Outside,PERSONAL_WEAPONS,Male,16.0,BLACK_OR_AFRICAN_AMERICAN,NORTHEAST,New Northwood,OTHER/RESIDENTIAL,September,evening
4C,AGG. ASSAULT,Outside,PERSONAL_WEAPONS,Male,37.0,BLACK_OR_AFRICAN_AMERICAN,NORTHWEST,Greenspring,OTHER/RESIDENTIAL,September,evening
4E,COMMON ASSAULT,Outside,PERSONAL_WEAPONS,Male,35.0,BLACK_OR_AFRICAN_AMERICAN,SOUTHWEST,Beechfield,OTHER/RESIDENTIAL,September,night
7A,AUTO THEFT,Inside,NO_Weapon_Involved,Male,26.0,WHITE,SOUTHERN,Brooklyn,STREET,September,evening
4A,AGG. ASSAULT,Inside,HANDGUN,Female,29.0,BLACK_OR_AFRICAN_AMERICAN,CENTRAL,Druid Heights,STREET,September,night
5F,BURGLARY,Outside,NO_Weapon_Involved,Female,37.0,BLACK_OR_AFRICAN_AMERICAN,NORTHERN,Pen Lucy,OTHER/RESIDENTIAL,September,morning
4A,AGG. ASSAULT,Outside,HANDGUN,Female,40.0,BLACK_OR_AFRICAN_AMERICAN,SOUTHERN,Cherry Hill,OTHER/RESIDENTIAL,September,morning
6F,LARCENY,Inside,NO_Weapon_Involved,Male,30.0,BLACK_OR_AFRICAN_AMERICAN,CENTRAL,Bolton Hill,SHED/GARAGE,September,afternoon
4B,AGG. ASSAULT,Inside,BLUNT_OBJECT,Male,53.0,BLACK_OR_AFRICAN_AMERICAN,EASTERN,East Baltimore Midway,STREET,September,afternoon
4B,AGG. ASSAULT,Outside,KNIFE_CUTTING_INSTRUMENT,Female,39.0,BLACK_OR_AFRICAN_AMERICAN,SOUTHERN,Lakeland,OTHER/RESIDENTIAL,September,night
3JO,ROBBERY,Outside,PERSONAL_WEAPONS,Female,29.0,BLACK_OR_AFRICAN_AMERICAN,NORTHWEST,Greenspring,OTHER/RESIDENTIAL,September,night
4B,AGG. ASSAULT,Outside,KNIFE_CUTTING_INSTRUMENT,Male,43.0,BLACK_OR_AFRICAN_AMERICAN,WESTERN,Mondawmin,RESTAURANT,September,night
5A,BURGLARY,Outside,NO_Weapon_Involved,Female,34.0,BLACK_OR_AFRICAN_AMERICAN,EASTERN,Oliver,OTHER/RESIDENTIAL,September,night
4C,AGG. ASSAULT,Inside,MOTOR_VEHICLE_VESSEL,Female,28.0,BLACK_OR_AFRICAN_AMERICAN,NORTHEAST,COLDSTREAM HOMESTEAD MONTEBELLO,STREET,August,night
9S,SHOOTING,Outside,FIREARM,Male,22.0,BLACK_OR_AFRICAN_AMERICAN,SOUTHWEST,CARROLLTON RIDGE,STREET,August,evening
4E,COMMON ASSAULT,Outside,PERSONAL_WEAPONS,Female,27.0,WHITE,SOUTHERN,Curtis Bay,OTHER/RESIDENTIAL,August,night
6D,LARCENY FROM AUTO,Inside,NO_Weapon_Involved,Male,19.0,BLACK_OR_AFRICAN_AMERICAN,SOUTHWEST,MORRELL PARK,STREET,August,night
4E,COMMON ASSAULT,Outside,PERSONAL_WEAPONS,Male,32.0,WHITE,SOUTHERN,Curtis Bay,OTHER/RESIDENTIAL,August,night
7A,AUTO THEFT,Inside,NO_Weapon_Involved,Male,50.0,BLACK_OR_AFRICAN_AMERICAN,SOUTHERN,Brooklyn,STREET,August,evening
9S,SHOOTING,Outside,FIREARM,Male,45.0,BLACK_OR_AFRICAN_AMERICAN,NORTHEAST,FRANKFORD,STREET,August,night
6G,LARCENY,Outside,NO_Weapon_Involved,Female,38.0,BLACK_OR_AFRICAN_AMERICAN,CENTRAL,University Of Maryland,OTHER/RESIDENTIAL,August,afternoon
6F,LARCENY,Inside,NO_Weapon_Involved,Female,76.0,BLACK_OR_AFRICAN_AMERICAN,SD5,Carroll - Camden Industrial Area,RACE TRACK,August,morning
9S,SHOOTING,Outside,FIREARM,Male,23.0,BLACK_OR_AFRICAN_AMERICAN,NORTHEAST,FRANKFORD,STREET,August,morning
6F,LARCENY,Outside,NO_Weapon_Involved,Female,40.0,Other,NORTHERN,Guilford,OTHER/RESIDENTIAL,September,night
4E,COMMON ASSAULT,Outside,PERSONAL_WEAPONS,Female,28.0,BLACK_OR_AFRICAN_AMERICAN,SOUTHWEST,Mount Holly,OTHER/RESIDENTIAL,September,evening
3NF,ROBBERY,Inside,HANDGUN,Male,34.0,Other,NORTHERN,Better Waverly,SHED/GARAGE,September,night
4E,COMMON ASSAULT,Outside,PERSONAL_WEAPONS,Female,42.0,BLACK_OR_AFRICAN_AMERICAN,WESTERN,Bridgeview/Greenlawn,OTHER/RESIDENTIAL,September,night
5B,BURGLARY,Outside,NO_Weapon_Involved,Male,61.0,Other,NORTHEAST,Lauraville,CONVENIENCE STORE,September,night
4E,COMMON ASSAULT,Outside,PERSONAL_WEAPONS,Female,17.0,BLACK_OR_AFRICAN_AMERICAN,NORTHWEST,Central Park Heights,OTHER/RESIDENTIAL,September,afternoon
4D,AGG. ASSAULT,Inside,NO_Weapon_Involved,Female,56.0,WHITE,CENTRAL,JONESTOWN,STREET,September,afternoon
6D,LARCENY FROM AUTO,Inside,NO_Weapon_Involved,Female,28.0,BLACK_OR_AFRICAN_AMERICAN,SOUTHEAST,Highlandtown,STREET,September,afternoon
4E,COMMON ASSAULT,Outside,PERSONAL_WEAPONS,Male,71.0,BLACK_OR_AFRICAN_AMERICAN,WESTERN,Poppleton,OTHER/RESIDENTIAL,September,morning
6D,LARCENY FROM AUTO,Inside,NO_Weapon_Involved,Male,70.0,WHITE,NORTHWEST,Callaway-Garrison,STREET,September,evening
5F,BURGLARY,Outside,NO_Weapon_Involved,Female,75.0,BLACK_OR_AFRICAN_AMERICAN,NORTHWEST,Woodmere,OTHER/RESIDENTIAL,September,evening
5B,BURGLARY,Outside,NO_Weapon_Involved,Not Specified,37.01136895019874,Unknown,NORTHWEST,Reisterstown Station,OFFICE BUILDING,September,night
6J,LARCENY,Inside,NO_Weapon_Involved,Female,75.0,WHITE,SOUTHEAST,Canton,STREET,September,night
5B,BURGLARY,Outside,NO_Weapon_Involved,Male,50.0,Unknown,NORTHWEST,Reisterstown Station,OFFICE BUILDING,September,night
4B,AGG. ASSAULT,Outside,BLUNT_OBJECT,Male,36.0,Unknown,SOUTHWEST,Northwest Community Action,OTHER/RESIDENTIAL,September,morning
7A,AUTO THEFT,Inside,NO_Weapon_Involved,Female,37.01136895019874,BLACK_OR_AFRICAN_AMERICAN,EASTERN,OLIVER,STREET,August,night
4E,COMMON ASSAULT,Outside,PERSONAL_WEAPONS,Male,71.0,BLACK_OR_AFRICAN_AMERICAN,CENTRAL,Upton,OTHER/RESIDENTIAL,August,morning
4B,AGG. ASSAULT,Inside,PERSONAL_WEAPONS,Female,57.0,WHITE,SOUTHWEST,Morrell Park,STREET,August,morning
4E,COMMON ASSAULT,Outside,PERSONAL_WEAPONS,Male,23.0,BLACK_OR_AFRICAN_AMERICAN,SOUTHERN,New Southwest/Mount Clare,OTHER/RESIDENTIAL,August,morning
4C,AGG. ASSAULT,Inside,OTHER,Female,23.0,BLACK_OR_AFRICAN_AMERICAN,NORTHWEST,Dolfield,STREET,August,night
4A,AGG. ASSAULT,Inside,HANDGUN,Male,19.0,BLACK_OR_AFRICAN_AMERICAN,SOUTHEAST,McElderry Park,STREET,August,night
4E,COMMON ASSAULT,Outside,PERSONAL_WEAPONS,Female,29.0,BLACK_OR_AFRICAN_AMERICAN,SOUTHWEST,Irvington,OTHER/RESIDENTIAL,August,morning
4E,COMMON ASSAULT,Inside,OTHER,Male,29.0,Unknown,SOUTHWEST,Franklintown Road,STREET,August,afternoon
4B,AGG. ASSAULT,Outside,BLUNT_OBJECT,Male,66.0,Unknown,EASTERN,Berea,CONVENIENCE STORE,August,evening
4E,COMMON ASSAULT,Outside,PERSONAL_WEAPONS,Female,37.01136895019874,Unknown,SOUTHWEST,Shipley Hill,CONVENIENCE STORE,August,evening
4B,AGG. ASSAULT,Inside,PERSONAL_WEAPONS,Female,37.0,BLACK_OR_AFRICAN_AMERICAN,EASTERN,Johnston Square,STREET,August,evening
6F,LARCENY,Outside,NO_Weapon_Involved,Female,40.0,WHITE,SOUTHEAST,Fells Point,OTHER/RESIDENTIAL,August,afternoon
4D,AGG. ASSAULT,Inside,NO_Weapon_Involved,Male,33.0,Unknown,EASTERN,East Baltimore Midway,STREET,August,evening
4E,COMMON ASSAULT,Outside,PERSONAL_WEAPONS,Female,38.0,WHITE,SOUTHWEST,Beechfield,OTHER/RESIDENTIAL,August,night
4C,AGG. ASSAULT,Inside,OTHER,Female,26.0,Unknown,SOUTHEAST,JONESTOWN,STREET,August,night
6F,LARCENY,Outside,NO_Weapon_Involved,Male,59.0,BLACK_OR_AFRICAN_AMERICAN,WESTERN,Poppleton,OTHER/RESIDENTIAL,August,morning
7A,AUTO THEFT,Inside,NO_Weapon_Involved,Female,28.0,WHITE,SOUTHEAST,Butcher's Hill,STREET,October,evening
7A,AUTO THEFT,Inside,NO_Weapon_Involved,Female,32.0,BLACK_OR_AFRICAN_AMERICAN,NORTHEAST,Loch Raven,STREET,October,night
7A,AUTO THEFT,Inside,NO_Weapon_Involved,Female,62.0,BLACK_OR_AFRICAN_AMERICAN,CENTRAL,Downtown,STREET,October,evening
6J,LARCENY,Outside,NO_Weapon_Involved,Male,57.0,WHITE,SOUTHERN,Lakeland,OTHER/RESIDENTIAL,October,evening
7A,AUTO THEFT,Inside,NO_Weapon_Involved,Female,38.0,BLACK_OR_AFRICAN_AMERICAN,NORTHWEST,Langston Hughes,STREET,October,morning
6D,LARCENY FROM AUTO,Inside,NO_Weapon_Involved,Male,31.0,WHITE,EASTERN,Orangeville,SHED/GARAGE,October,morning
7A,AUTO THEFT,Inside,NO_Weapon_Involved,Female,41.0,Unknown,SOUTHEAST,PATTERSON PARK NEIGHBORHOOD,STREET,October,afternoon
7C,AUTO THEFT,Outside,NO_Weapon_Involved,Male,20.0,BLACK_OR_AFRICAN_AMERICAN,NORTHEAST,Parkside,OTHER/RESIDENTIAL,October,night
6J,LARCENY,Inside,NO_Weapon_Involved,Male,25.0,BLACK_OR_AFRICAN_AMERICAN,SOUTHEAST,Butcher's Hill,STREET,October,evening
6D,LARCENY FROM AUTO,Inside,NO_Weapon_Involved,Male,27.0,WHITE,SOUTHEAST,Patterson Park Neighborhood,SHED/GARAGE,October,afternoon
6J,LARCENY,Inside,NO_Weapon_Involved,Female,35.0,BLACK_OR_AFRICAN_AMERICAN,WESTERN,Mondawmin,STREET,October,afternoon
3EF,ROBBERY,Inside,FIREARM,Male,23.0,BLACK_OR_AFRICAN_AMERICAN,CENTRAL,Madison Park,GAS STATION,October,night
3JO,ROBBERY,Outside,PERSONAL_WEAPONS,Female,28.0,BLACK_OR_AFRICAN_AMERICAN,NORTHEAST,Frankford,OTHER/RESIDENTIAL,October,night
5A,BURGLARY,Outside,NO_Weapon_Involved,Female,23.0,BLACK_OR_AFRICAN_AMERICAN,NORTHEAST,Frankford,OTHER/RESIDENTIAL,October,night
6D,LARCENY FROM AUTO,Inside,NO_Weapon_Involved,Male,49.0,WHITE,SOUTHEAST,Upper Fells Point,STREET,October,evening
6D,LARCENY FROM AUTO,Inside,NO_Weapon_Involved,Male,54.0,BLACK_OR_AFRICAN_AMERICAN,NORTHEAST,Belair-Edison,STREET,October,evening
3CF,ROBBERY - COMMERCIAL,Outside,OTHER_FIREARM,Male,35.0,Unknown,CENTRAL,Downtown,RESTAURANT,October,evening
5B,BURGLARY,Outside,NO_Weapon_Involved,Not Specified,37.01136895019874,Unknown,SOUTHEAST,Fells Point,OFFICE BUILDING,September,night
5B,BURGLARY,Outside,NO_Weapon_Involved,Not Specified,37.01136895019874,Unknown,CENTRAL,Downtown,TAVERN/NIGHT CLUB,September,night
4E,COMMON ASSAULT,Outside,PERSONAL_WEAPONS,Male,33.0,Other,CENTRAL,Downtown,RESTAURANT,September,evening
4B,AGG. ASSAULT,Outside,KNIFE_CUTTING_INSTRUMENT,Male,42.0,BLACK_OR_AFRICAN_AMERICAN,EASTERN,Broadway East,OTHER/RESIDENTIAL,September,evening
4E,COMMON ASSAULT,Inside,PERSONAL_WEAPONS,Female,20.0,BLACK_OR_AFRICAN_AMERICAN,SOUTHERN,CARROLLTON RIDGE,STREET,September,evening
6F,LARCENY,Outside,NO_Weapon_Involved,Female,48.0,BLACK_OR_AFRICAN_AMERICAN,NORTHWEST,Central Park Heights,OTHER/RESIDENTIAL,September,morning
4B,AGG. ASSAULT,Outside,PERSONAL_WEAPONS,Female,26.0,BLACK_OR_AFRICAN_AMERICAN,CENTRAL,Reservoir Hill,OTHER/RESIDENTIAL,September,afternoon
6D,LARCENY FROM AUTO,Inside,NO_Weapon_Involved,Female,45.0,BLACK_OR_AFRICAN_AMERICAN,NORTHERN,Roland Park,STREET,September,night
7A,AUTO THEFT,Inside,NO_Weapon_Involved,Male,32.0,BLACK_OR_AFRICAN_AMERICAN,NORTHWEST,Glen,STREET,September,evening
9S,SHOOTING,Outside,FIREARM,Male,23.0,BLACK_OR_AFRICAN_AMERICAN,SOUTHWEST,WALBROOK,PUBLIC HOUSING,September,night
6J,LARCENY,Inside,NO_Weapon_Involved,Male,37.0,BLACK_OR_AFRICAN_AMERICAN,EASTERN,Gay Street,STREET,September,evening
1A,HOMICIDE,Outside,FIREARM,Male,42.0,BLACK_OR_AFRICAN_AMERICAN,WESTERN,HARLEM PARK,STREET,September,evening
9S,SHOOTING,Outside,FIREARM,Male,35.0,BLACK_OR_AFRICAN_AMERICAN,SOUTHWEST,WINCHESTER,ALLEY,September,morning
9S,SHOOTING,Outside,FIREARM,Male,44.0,BLACK_OR_AFRICAN_AMERICAN,WESTERN,HARLEM PARK,STREET,September,evening
4E,COMMON ASSAULT,Outside,PERSONAL_WEAPONS,Male,45.0,BLACK_OR_AFRICAN_AMERICAN,NORTHERN,Mid-Govans,OTHER/RESIDENTIAL,September,morning
9S,SHOOTING,Outside,FIREARM,Male,42.0,Other,SOUTHEAST,MCELDERRY PARK,STREET,August,night
4D,AGG. ASSAULT,Inside,NO_Weapon_Involved,Female,22.0,BLACK_OR_AFRICAN_AMERICAN,SOUTHWEST,Winchester,STREET,August,evening
4C,AGG. ASSAULT,Outside,PERSONAL_WEAPONS,Female,38.0,BLACK_OR_AFRICAN_AMERICAN,NORTHEAST,Hillen,OTHER/RESIDENTIAL,August,evening
7A,AUTO THEFT,Inside,NO_Weapon_Involved,Female,18.0,BLACK_OR_AFRICAN_AMERICAN,NORTHERN,Better Waverly,STREET,August,evening
4B,AGG. ASSAULT,Outside,UNKNOWN,Male,25.0,BLACK_OR_AFRICAN_AMERICAN,NORTHEAST,Belair-Edison,OTHER/RESIDENTIAL,August,evening
4E,COMMON ASSAULT,Outside,PERSONAL_WEAPONS,Female,41.0,BLACK_OR_AFRICAN_AMERICAN,NORTHEAST,Ramblewood,OTHER/RESIDENTIAL,August,evening
4B,AGG. ASSAULT,Outside,UNKNOWN,Female,31.0,WHITE,NORTHEAST,Belair-Edison,OTHER/RESIDENTIAL,August,evening
4B,AGG. ASSAULT,Outside,UNKNOWN,Female,16.0,BLACK_OR_AFRICAN_AMERICAN,NORTHEAST,Belair-Edison,OTHER/RESIDENTIAL,August,evening
4E,COMMON ASSAULT,Outside,PERSONAL_WEAPONS,Female,27.0,BLACK_OR_AFRICAN_AMERICAN,NORTHERN,Mid-Govans,OTHER/RESIDENTIAL,August,evening
4E,COMMON ASSAULT,Outside,PERSONAL_WEAPONS,Male,25.0,BLACK_OR_AFRICAN_AMERICAN,EASTERN,East Baltimore Midway,DRUG STORE / MED  BL,August,morning
6G,LARCENY,Inside,NO_Weapon_Involved,Female,20.0,Other,NORTHERN,Roland Park,SHED/GARAGE,August,night
7A,AUTO THEFT,Inside,NO_Weapon_Involved,Not Specified,37.01136895019874,Unknown,SOUTHERN,Cherry Hill,STREET,September,night
6D,LARCENY FROM AUTO,Inside,NO_Weapon_Involved,Not Specified,37.01136895019874,Unknown,SOUTHERN,Cherry Hill,SHED/GARAGE,September,morning
7A,AUTO THEFT,Inside,NO_Weapon_Involved,Not Specified,37.01136895019874,Unknown,WESTERN,Penn North,STREET,September,morning
6F,LARCENY,Inside,NO_Weapon_Involved,Not Specified,37.01136895019874,Unknown,CENTRAL,Inner Harbor,SHED/GARAGE,September,morning
3CO,ROBBERY - COMMERCIAL,Outside,KNIFE_CUTTING_INSTRUMENT,Not Specified,37.01136895019874,Unknown,WESTERN,Rosemont Homeowners/Tenants,DRUG STORE / MED  BL,September,morning
6J,LARCENY,Inside,NO_Weapon_Involved,Female,20.0,BLACK_OR_AFRICAN_AMERICAN,NORTHWEST,Ashburton,STREET,September,night
7A,AUTO THEFT,Inside,NO_Weapon_Involved,Female,38.0,BLACK_OR_AFRICAN_AMERICAN,NORTHWEST,Dorchester,STREET,September,evening
6D,LARCENY FROM AUTO,Inside,NO_Weapon_Involved,Female,29.0,BLACK_OR_AFRICAN_AMERICAN,NORTHWEST,GROVE PARK,SHED/GARAGE,September,evening
6J,LARCENY,Inside,NO_Weapon_Involved,Female,36.0,BLACK_OR_AFRICAN_AMERICAN,WESTERN,Franklin Square,SHED/GARAGE,September,morning
6F,LARCENY,Outside,NO_Weapon_Involved,Male,23.0,BLACK_OR_AFRICAN_AMERICAN,CENTRAL,Downtown,OTHER/RESIDENTIAL,September,evening
6D,LARCENY FROM AUTO,Inside,NO_Weapon_Involved,Female,32.0,BLACK_OR_AFRICAN_AMERICAN,SOUTHEAST,Upper Fells Point,STREET,September,evening
5A,BURGLARY,Outside,NO_Weapon_Involved,Male,45.0,Unknown,NORTHEAST,Frankford,OTHER/RESIDENTIAL,September,evening
7A,AUTO THEFT,Inside,NO_Weapon_Involved,Female,33.0,BLACK_OR_AFRICAN_AMERICAN,NORTHWEST,Grove Park,STREET,September,evening
4E,COMMON ASSAULT,Outside,PERSONAL_WEAPONS,Female,31.0,BLACK_OR_AFRICAN_AMERICAN,SOUTHWEST,Walbrook,CONVENIENCE STORE,September,morning
5A,BURGLARY,Outside,NO_Weapon_Involved,Female,49.0,BLACK_OR_AFRICAN_AMERICAN,SOUTHWEST,Wakefield,OTHER/RESIDENTIAL,September,evening
3NK,ROBBERY,Outside,KNIFE_CUTTING_INSTRUMENT,Male,29.0,BLACK_OR_AFRICAN_AMERICAN,CENTRAL,Bolton Hill,DRUG STORE / MED  BL,August,afternoon
6J,LARCENY,Inside,NO_Weapon_Involved,Male,41.0,Unknown,SOUTHWEST,Edgewood,STREET,August,morning
4A,AGG. ASSAULT,Inside,HANDGUN,Male,37.01136895019874,BLACK_OR_AFRICAN_AMERICAN,WESTERN,Easterwood,SHED/GARAGE,August,afternoon
4E,COMMON ASSAULT,Inside,PERSONAL_WEAPONS,Male,37.0,BLACK_OR_AFRICAN_AMERICAN,SOUTHWEST,Allendale,STREET,August,night
5F,BURGLARY,Outside,NO_Weapon_Involved,Male,31.0,BLACK_OR_AFRICAN_AMERICAN,WESTERN,Harlem Park,OTHER/RESIDENTIAL,August,evening
6F,LARCENY,Inside,NO_Weapon_Involved,Male,41.0,WHITE,EASTERN,Oldtown,STREET,August,evening
4E,COMMON ASSAULT,Outside,OTHER,Female,60.0,BLACK_OR_AFRICAN_AMERICAN,EASTERN,Darley Park,OTHER/RESIDENTIAL,August,night
7A,AUTO THEFT,Outside,NO_Weapon_Involved,Male,44.0,Unknown,NORTHWEST,West Forest Park,OTHER/RESIDENTIAL,August,night
6D,LARCENY FROM AUTO,Inside,NO_Weapon_Involved,Male,34.0,WHITE,SOUTHEAST,Pulaski Industrial Area,STREET,August,afternoon
7A,AUTO THEFT,Inside,NO_Weapon_Involved,Female,53.0,BLACK_OR_AFRICAN_AMERICAN,NORTHWEST,Windsor Hills,STREET,August,evening
6D,LARCENY FROM AUTO,Inside,NO_Weapon_Involved,Female,41.0,BLACK_OR_AFRICAN_AMERICAN,EASTERN,Oliver,STREET,August,night
6J,LARCENY,Inside,NO_Weapon_Involved,Male,52.0,WHITE,SOUTHWEST,Northwest Community Action,STREET,August,night
5A,BURGLARY,Outside,FIREARM,Male,14.0,BLACK_OR_AFRICAN_AMERICAN,SOUTHWEST,Northwest Community Action,OTHER/RESIDENTIAL,August,afternoon
4E,COMMON ASSAULT,Outside,PERSONAL_WEAPONS,Female,19.0,Unknown,NORTHWEST,Langston Hughes,OTHER/RESIDENTIAL,August,afternoon
6F,LARCENY,Inside,NO_Weapon_Involved,Male,31.0,Unknown,WESTERN,Sandtown-Winchester,STREET,August,morning
6J,LARCENY,Inside,NO_Weapon_Involved,Male,55.0,WHITE,SOUTHEAST,BAYVIEW,STREET,August,afternoon
6D,LARCENY FROM AUTO,Inside,NO_Weapon_Involved,Female,20.0,BLACK_OR_AFRICAN_AMERICAN,NORTHERN,North Roland Park/Poplar Hill,SHED/GARAGE,September,night
3AJO,ROBBERY - CARJACKING,Inside,UNKNOWN,Male,16.0,WHITE,SOUTHERN,Washington Village/Pigtown,STREET,September,night
6D,LARCENY FROM AUTO,Inside,NO_Weapon_Involved,Male,51.0,BLACK_OR_AFRICAN_AMERICAN,NORTHEAST,Woodbourne Heights,STREET,September,night
