crimecode,description,inside_outside,weapon,gender,age,race,district,neighborhood,premise,Month_name,time_of_day
4B,AGG. ASSAULT,Outside,KNIFE_CUTTING_INSTRUMENT,Female,27.0,WHITE,SOUTHEAST,Greektown,OTHER/RESIDENTIAL,May,night
4E,COMMON ASSAULT,Outside,PERSONAL_WEAPONS,Female,24.0,BLACK_OR_AFRICAN_AMERICAN,NORTHEAST,Coldstream Homestead Montebello,OTHER/RESIDENTIAL,May,night
7A,AUTO THEFT,Inside,NO_Weapon_Involved,Male,31.0,BLACK_OR_AFRICAN_AMERICAN,SOUTHWEST,Gwynns Falls,STREET,May,night
3AF,ROBBERY,Inside,SHOTGUN,Male,35.0,BLACK_OR_AFRICAN_AMERICAN,EASTERN,Broadway East,STREET,May,morning
5F,BURGLARY,Outside,NO_Weapon_Involved,Female,33.0,BLACK_OR_AFRICAN_AMERICAN,NORTHEAST,Coldstream Homestead Montebello,OTHER/RESIDENTIAL,May,night
6D,LARCENY FROM AUTO,Inside,NO_Weapon_Involved,Male,38.0,WHITE,NORTHERN,Cross Keys,SHED/GARAGE,May,evening
6D,LARCENY FROM AUTO,Inside,NO_Weapon_Involved,Female,24.0,BLACK_OR_AFRICAN_AMERICAN,NORTHWEST,Cheswolde,SHED/GARAGE,May,evening
4E,COMMON ASSAULT,Outside,PERSONAL_WEAPONS,Female,23.0,BLACK_OR_AFRICAN_AMERICAN,NORTHERN,Abell,OTHER/RESIDENTIAL,May,afternoon
4C,AGG. ASSAULT,Outside,OTHER,Male,16.0,BLACK_OR_AFRICAN_AMERICAN,NORTHERN,Wrenlane,OTHER/RESIDENTIAL,May,night
4C,AGG. ASSAULT,Outside,OTHER,Male,30.0,BLACK_OR_AFRICAN_AMERICAN,NORTHERN,Wrenlane,OTHER/RESIDENTIAL,May,night
4B,AGG. ASSAULT,Outside,BLUNT_OBJECT,Female,28.0,BLACK_OR_AFRICAN_AMERICAN,NORTHEAST,Lauraville,OTHER/RESIDENTIAL,May,night
3AJF,ROBBERY - CARJACKING,Inside,OTHER_FIREARM,Male,46.0,BLACK_OR_AFRICAN_AMERICAN,EASTERN,Broadway East,STREET,May,night
4A,AGG. ASSAULT,Inside,OTHER_FIREARM,Female,64.0,BLACK_OR_AFRICAN_AMERICAN,EASTERN,Broadway East,STREET,May,night
3AJO,ROBBERY - CARJACKING,Inside,UNKNOWN,Male,61.0,WHITE,NORTHWEST,Woodmere,GAS STATION,May,night
7A,AUTO THEFT,Inside,NO_Weapon_Involved,Male,59.0,Unknown,SOUTHERN,Cherry Hill,STREET,May,night
6F,LARCENY,Outside,NO_Weapon_Involved,Female,36.0,BLACK_OR_AFRICAN_AMERICAN,NORTHERN,Cameron Village,OTHER/RESIDENTIAL,May,evening
6F,LARCENY,Inside,NO_Weapon_Involved,Male,50.0,BLACK_OR_AFRICAN_AMERICAN,NORTHERN,Old Goucher,STREET,May,morning
9S,SHOOTING,Outside,FIREARM,Male,15.0,BLACK_OR_AFRICAN_AMERICAN,NORTHEAST,COLDSTREAM HOMESTEAD MONTEBELLO,STREET,September,afternoon
9S,SHOOTING,Outside,FIREARM,Male,23.0,BLACK_OR_AFRICAN_AMERICAN,NORTHEAST,COLDSTREAM HOMESTEAD MONTEBELLO,STREET,September,afternoon
5F,BURGLARY,Outside,NO_Weapon_Involved,Male,61.0,BLACK_OR_AFRICAN_AMERICAN,WESTERN,Sandtown-Winchester,OTHER/RESIDENTIAL,September,morning
7A,AUTO THEFT,Inside,NO_Weapon_Involved,Female,26.0,BLACK_OR_AFRICAN_AMERICAN,NORTHERN,Greenspring,STREET,September,afternoon
6F,LARCENY,Outside,NO_Weapon_Involved,Female,23.0,Other,NORTHERN,Roland Park,OTHER/RESIDENTIAL,September,afternoon
3AO,ROBBERY,Inside,UNKNOWN,Male,15.0,BLACK_OR_AFRICAN_AMERICAN,CENTRAL,Downtown,STREET,September,morning
4E,COMMON ASSAULT,Outside,PERSONAL_WEAPONS,Female,25.0,BLACK_OR_AFRICAN_AMERICAN,WESTERN,Poppleton,OTHER/RESIDENTIAL,September,night
4E,COMMON ASSAULT,Outside,PERSONAL_WEAPONS,Female,27.0,BLACK_OR_AFRICAN_AMERICAN,NORTHERN,Pen Lucy,OTHER/RESIDENTIAL,May,afternoon
7A,AUTO THEFT,Inside,NO_Weapon_Involved,Male,56.0,BLACK_OR_AFRICAN_AMERICAN,NORTHERN,Greenspring,STREET,May,morning
4E,COMMON ASSAULT,Outside,PERSONAL_WEAPONS,Male,26.0,WHITE,SOUTHWEST,Violetville,OTHER/RESIDENTIAL,May,evening
4C,AGG. ASSAULT,Inside,OTHER,Female,16.0,BLACK_OR_AFRICAN_AMERICAN,NORTHEAST,Ednor Gardens-Lakeside,STREET,May,evening
4A,AGG. ASSAULT,Inside,AUTOMATIC_HANDGUN,Male,74.0,BLACK_OR_AFRICAN_AMERICAN,SOUTHERN,DOWNTOWN WEST,STREET,May,evening
7C,AUTO THEFT,Inside,NO_Weapon_Involved,Female,32.0,BLACK_OR_AFRICAN_AMERICAN,NORTHWEST,East Arlington,STREET,May,evening
6J,LARCENY,Inside,NO_Weapon_Involved,Male,39.0,BLACK_OR_AFRICAN_AMERICAN,EASTERN,East Baltimore Midway,STREET,May,afternoon
6D,LARCENY FROM AUTO,Inside,NO_Weapon_Involved,Female,31.0,BLACK_OR_AFRICAN_AMERICAN,NORTHWEST,Pimlico Good Neighbors,STADIUM,May,night
4E,COMMON ASSAULT,Inside,PERSONAL_WEAPONS,Male,26.0,WHITE,SOUTHEAST,McElderry Park,STREET,May,evening
7A,AUTO THEFT,Inside,NO_Weapon_Involved,Female,58.0,WHITE,NORTHWEST,Pimlico Good Neighbors,SHED/GARAGE,May,afternoon
4B,AGG. ASSAULT,Outside,PERSONAL_WEAPONS,Male,33.0,BLACK_OR_AFRICAN_AMERICAN,EASTERN,McElderry Park,OTHER/RESIDENTIAL,May,night
4E,COMMON ASSAULT,Outside,PERSONAL_WEAPONS,Female,32.0,BLACK_OR_AFRICAN_AMERICAN,EASTERN,McElderry Park,OTHER/RESIDENTIAL,May,night
4E,COMMON ASSAULT,Inside,PERSONAL_WEAPONS,Female,27.0,BLACK_OR_AFRICAN_AMERICAN,NORTHWEST,Pimlico Good Neighbors,RACE TRACK,May,evening
4E,COMMON ASSAULT,Outside,PERSONAL_WEAPONS,Female,31.0,Other,SOUTHEAST,Baltimore Highlands,OTHER/RESIDENTIAL,May,evening
4E,COMMON ASSAULT,Outside,NO_Weapon_Involved,Female,14.0,BLACK_OR_AFRICAN_AMERICAN,CENTRAL,Greenmount West,OTHER/RESIDENTIAL,May,morning
4A,AGG. ASSAULT,Outside,FIREARM,Female,35.0,BLACK_OR_AFRICAN_AMERICAN,SOUTHWEST,Millhill,SCHOOL,May,afternoon
3AO,ROBBERY,Inside,PERSONAL_WEAPONS,Female,70.0,WHITE,NORTHEAST,Armistead Gardens,STREET,September,night
5A,BURGLARY,Outside,NO_Weapon_Involved,Male,51.0,WHITE,NORTHERN,Homeland,OTHER/RESIDENTIAL,September,morning
4E,COMMON ASSAULT,Outside,PERSONAL_WEAPONS,Male,12.0,BLACK_OR_AFRICAN_AMERICAN,EASTERN,Dunbar-Broadway,SCHOOL,September,afternoon
6F,LARCENY,Outside,NO_Weapon_Involved,Male,33.0,WHITE,NORTHERN,Hampden,OTHER/RESIDENTIAL,September,afternoon
3AO,ROBBERY,Inside,PERSONAL_WEAPONS,Male,17.0,BLACK_OR_AFRICAN_AMERICAN,CENTRAL,Downtown West,STREET,September,morning
4E,COMMON ASSAULT,Inside,PERSONAL_WEAPONS,Female,58.0,WHITE,SOUTHERN,Hollins Market,STREET,September,morning
3JF,ROBBERY,Outside,OTHER,Female,52.0,WHITE,NORTHERN,Homeland,OTHER/RESIDENTIAL,September,night
7A,AUTO THEFT,Inside,NO_Weapon_Involved,Male,31.0,WHITE,WESTERN,Mondawmin,STREET,September,night
4E,COMMON ASSAULT,Outside,PERSONAL_WEAPONS,Male,56.0,BLACK_OR_AFRICAN_AMERICAN,NORTHEAST,Coldstream Homestead Montebello,OTHER/RESIDENTIAL,September,night
4E,COMMON ASSAULT,Inside,NO_Weapon_Involved,Female,25.0,Other,SOUTHEAST,Fells Point,STREET,September,night
4E,COMMON ASSAULT,Inside,NO_Weapon_Involved,Male,21.0,Other,SOUTHEAST,Fells Point,STREET,September,night
4E,COMMON ASSAULT,Inside,PERSONAL_WEAPONS,Female,23.0,WHITE,SOUTHEAST,Fells Point,STREET,September,night
4A,AGG. ASSAULT,Inside,FIREARM,Female,37.0,BLACK_OR_AFRICAN_AMERICAN,SOUTHERN,New Southwest/Mount Clare,STREET,September,night
4E,COMMON ASSAULT,Outside,PERSONAL_WEAPONS,Female,21.0,BLACK_OR_AFRICAN_AMERICAN,EASTERN,Broadway East,OTHER/RESIDENTIAL,September,morning
4E,COMMON ASSAULT,Outside,PERSONAL_WEAPONS,Female,22.0,BLACK_OR_AFRICAN_AMERICAN,EASTERN,Broadway East,OTHER/RESIDENTIAL,September,morning
4E,COMMON ASSAULT,Outside,PERSONAL_WEAPONS,Female,44.0,BLACK_OR_AFRICAN_AMERICAN,NORTHEAST,Belair-Edison,OTHER/RESIDENTIAL,May,afternoon
4E,COMMON ASSAULT,Outside,PERSONAL_WEAPONS,Male,15.0,Other,SOUTHERN,Riverside,SCHOOL,May,morning
6D,LARCENY FROM AUTO,Inside,NO_Weapon_Involved,Male,37.0,BLACK_OR_AFRICAN_AMERICAN,EASTERN,East Baltimore Midway,STREET,May,evening
6F,LARCENY,Outside,NO_Weapon_Involved,Female,23.0,BLACK_OR_AFRICAN_AMERICAN,SOUTHWEST,Tremont,OTHER/RESIDENTIAL,May,afternoon
7A,AUTO THEFT,Outside,NO_Weapon_Involved,Male,40.0,WHITE,SOUTHEAST,Highlandtown,OTHER/RESIDENTIAL,May,night
4E,COMMON ASSAULT,Outside,PERSONAL_WEAPONS,Female,10.0,Other,NORTHWEST,Fallstaff,SCHOOL,May,afternoon
4E,COMMON ASSAULT,Outside,PERSONAL_WEAPONS,Female,24.0,BLACK_OR_AFRICAN_AMERICAN,NORTHEAST,Frankford,OTHER/RESIDENTIAL,May,evening
4E,COMMON ASSAULT,Outside,PERSONAL_WEAPONS,Female,19.0,BLACK_OR_AFRICAN_AMERICAN,NORTHEAST,Frankford,OTHER/RESIDENTIAL,May,evening
7A,AUTO THEFT,Inside,NO_Weapon_Involved,Male,39.0,BLACK_OR_AFRICAN_AMERICAN,CENTRAL,BOLTON HILL,STREET,May,evening
3AF,ROBBERY,Inside,HANDGUN,Male,40.0,WHITE,NORTHERN,Hampden,STREET,May,evening
3AF,ROBBERY,Inside,HANDGUN,Female,38.0,WHITE,NORTHERN,Hampden,STREET,May,evening
6D,LARCENY FROM AUTO,Inside,NO_Weapon_Involved,Female,50.0,BLACK_OR_AFRICAN_AMERICAN,SOUTHWEST,Edgewood,STREET,May,night
7A,AUTO THEFT,Inside,NO_Weapon_Involved,Female,21.0,BLACK_OR_AFRICAN_AMERICAN,NORTHWEST,Liberty Square,STREET,May,night
4E,COMMON ASSAULT,Outside,PERSONAL_WEAPONS,Female,17.0,BLACK_OR_AFRICAN_AMERICAN,WESTERN,Midtown-Edmondson,OTHER/RESIDENTIAL,May,afternoon
4C,AGG. ASSAULT,Outside,OTHER,Female,32.0,BLACK_OR_AFRICAN_AMERICAN,SOUTHERN,Cherry Hill,OTHER/RESIDENTIAL,May,afternoon
4E,COMMON ASSAULT,Outside,PERSONAL_WEAPONS,Male,63.0,WHITE,NORTHWEST,Arlington,OFFICE BUILDING,May,afternoon
4E,COMMON ASSAULT,Outside,PERSONAL_WEAPONS,Female,37.01136895019874,BLACK_OR_AFRICAN_AMERICAN,NORTHWEST,Arlington,OFFICE BUILDING,May,afternoon
4B,AGG. ASSAULT,Outside,PERSONAL_WEAPONS,Female,20.0,BLACK_OR_AFRICAN_AMERICAN,SOUTHWEST,Edmondson Village,OTHER/RESIDENTIAL,May,afternoon
4E,COMMON ASSAULT,Outside,PERSONAL_WEAPONS,Female,25.0,BLACK_OR_AFRICAN_AMERICAN,SOUTHWEST,Edmondson Village,OTHER/RESIDENTIAL,May,afternoon
3GK,ROBBERY,Outside,KNIFE_CUTTING_INSTRUMENT,Female,50.0,BLACK_OR_AFRICAN_AMERICAN,NORTHEAST,New Northwood,CONVENIENCE STORE,May,afternoon
4E,COMMON ASSAULT,Inside,PERSONAL_WEAPONS,Male,30.0,Other,NORTHERN,Charles North,STREET,May,afternoon
4E,COMMON ASSAULT,Inside,PERSONAL_WEAPONS,Male,59.0,BLACK_OR_AFRICAN_AMERICAN,WESTERN,HARLEM PARK,STREET,May,afternoon
4E,COMMON ASSAULT,Outside,PERSONAL_WEAPONS,Female,54.0,BLACK_OR_AFRICAN_AMERICAN,NORTHEAST,Lauraville,OTHER/RESIDENTIAL,May,afternoon
3JO,ROBBERY,Outside,PERSONAL_WEAPONS,Male,67.0,WHITE,NORTHWEST,Hanlon-Longwood,OTHER/RESIDENTIAL,May,morning
6F,LARCENY,Inside,NO_Weapon_Involved,Male,47.0,Other,SOUTHEAST,O'DONNELL HEIGHTS,STREET,May,afternoon
4E,COMMON ASSAULT,Outside,PERSONAL_WEAPONS,Female,45.0,BLACK_OR_AFRICAN_AMERICAN,SOUTHWEST,Carrollton Ridge,OTHER/RESIDENTIAL,May,afternoon
5A,BURGLARY,Outside,NO_Weapon_Involved,Male,22.0,Other,EASTERN,East Baltimore Midway,OTHER/RESIDENTIAL,May,evening
6D,LARCENY FROM AUTO,Inside,NO_Weapon_Involved,Male,62.0,BLACK_OR_AFRICAN_AMERICAN,SOUTHERN,Washington Village/Pigtown,STREET,May,night
6J,LARCENY,Inside,NO_Weapon_Involved,Female,69.0,BLACK_OR_AFRICAN_AMERICAN,NORTHWEST,Howard Park,STREET,May,morning
6J,LARCENY,Inside,NO_Weapon_Involved,Female,20.0,WHITE,NORTHEAST,Hamilton Hills,STREET,May,night
7A,AUTO THEFT,Inside,NO_Weapon_Involved,Female,43.0,BLACK_OR_AFRICAN_AMERICAN,EASTERN,Barclay,STREET,May,night
6G,LARCENY,Outside,NO_Weapon_Involved,Male,47.0,BLACK_OR_AFRICAN_AMERICAN,SOUTHERN,New Southwest/Mount Clare,OTHER/RESIDENTIAL,May,afternoon
6J,LARCENY,Outside,NO_Weapon_Involved,Male,63.0,BLACK_OR_AFRICAN_AMERICAN,SOUTHERN,Lakeland,OTHER/RESIDENTIAL,May,morning
3CO,ROBBERY - COMMERCIAL,Outside,KNIFE_CUTTING_INSTRUMENT,Not Specified,37.01136895019874,Unknown,NORTHEAST,New Northwood,CONVENIENCE STORE,May,afternoon
5B,BURGLARY,Outside,NO_Weapon_Involved,Not Specified,37.01136895019874,Unknown,NORTHWEST,Reisterstown Station,GROCERY/CONFECTION,May,night
6C,LARCENY,Outside,NO_Weapon_Involved,Not Specified,37.01136895019874,Unknown,SOUTHEAST,Bayview,CONVENIENCE STORE,May,morning
6C,LARCENY,Outside,NO_Weapon_Involved,Not Specified,37.01136895019874,Unknown,NORTHERN,Charles Village,DRUG STORE / MED  BL,May,morning
5F,BURGLARY,Inside,NO_Weapon_Involved,Not Specified,37.01136895019874,Unknown,CENTRAL,Mount Vernon,MINI STORAGE LOCKERS,May,night
6C,LARCENY,Outside,NO_Weapon_Involved,Not Specified,37.01136895019874,Unknown,SOUTHEAST,McElderry Park,CONVENIENCE STORE,May,afternoon
